timestamp,torso_angle,neck_angle,posture_score,posture_status
2026-06-02 22:39:36,4.5,6.2,94.8,Excellent
2026-06-02 22:40:36,5.1,8.0,92.5,Excellent
2026-06-02 22:41:36,3.8,7.4,95.5,Excellent
2026-06-02 22:42:36,10.2,15.5,75.6,Moderate
2026-06-02 22:43:36,12.0,18.2,71.3,Moderate
2026-06-02 22:44:36,18.5,25.0,58.1,Poor
2026-06-02 22:45:36,21.0,28.5,52.4,Poor
2026-06-02 22:46:36,24.3,31.0,46.4,Poor
2026-06-02 22:47:36,11.5,17.0,72.8,Moderate
2026-06-02 22:48:36,22.1,29.8,50.1,Poor
2026-06-02 22:49:36,26.0,35.0,41.2,Poor
2026-06-02 22:50:36,28.2,38.5,35.9,Poor
2026-06-02 22:51:36,29.5,42.0,30.6,Poor
2026-06-02 22:52:36,31.0,45.0,25.0,Poor
2026-06-02 22:53:36,32.5,48.0,18.8,Poor
