timestamp,torso_angle,neck_angle,posture_score,posture_status
2026-06-02 23:13:28,4.5,6.2,94.8,Excellent
2026-06-02 23:14:28,5.1,8.0,92.5,Excellent
2026-06-02 23:15:28,3.8,7.4,95.5,Excellent
2026-06-02 23:16:28,10.2,15.5,75.6,Moderate
2026-06-02 23:17:28,12.0,18.2,71.3,Moderate
2026-06-02 23:18:28,18.5,25.0,58.1,Poor
2026-06-02 23:19:28,21.0,28.5,52.4,Poor
2026-06-02 23:20:28,24.3,31.0,46.4,Poor
2026-06-02 23:21:28,11.5,17.0,72.8,Moderate
2026-06-02 23:22:28,22.1,29.8,50.1,Poor
2026-06-02 23:23:28,26.0,35.0,41.2,Poor
2026-06-02 23:24:28,28.2,38.5,35.9,Poor
2026-06-02 23:25:28,29.5,42.0,30.6,Poor
2026-06-02 23:26:28,31.0,45.0,25.0,Poor
2026-06-02 23:27:28,32.5,48.0,18.8,Poor
